status,repository,pr,title,severity,lens,owner,path_group,first_seen_at,last_seen_at,cleared_at,seen_count,reopened_count,archetype,merge_readiness,message
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Design,product,src/components,2026-03-12T14:03:07.172Z,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,2,1,feature,82,"Frontend changes detected without UI evidence (screenshots/UX notes)."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Security,security,src/components,2026-03-12T14:03:07.172Z,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,2,1,feature,82,"Sensitive domain changes detected (3 file(s))."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,PathPolicy,security,src/components,2026-03-12T14:03:07.172Z,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,2,1,feature,82,"Rule 'auth_paths' matched 1 file(s); penalties applied (eng:5, product:0, design:0, sec:8)."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,PathPolicy,security,src/components,2026-03-12T14:03:07.172Z,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,2,1,feature,82,"Rule 'workflow_paths' matched 1 file(s); penalties applied (eng:4, product:0, design:0, sec:6)."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Regression,unassigned,root,2026-03-12T14:03:07.172Z,2026-03-12T14:03:07.298Z,2026-03-12T14:03:07.298Z,1,0,feature,82,"Regression signature '4292c0c504f8a8ea' has appeared 5 times (including this run)."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,PolicyDrift,unassigned,root,2026-03-12T14:03:07.172Z,2026-03-12T14:48:05.503Z,,4,0,feature,64,"Adaptive thresholds drifted beyond ±8 on: product_warning(+18), security_warning(-10)."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Engineering,platform,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"No test file changes detected."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Design,product,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Frontend changes detected without UI evidence (screenshots/UX notes)."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Security,security,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Sensitive domain changes detected (3 file(s))."
open,local/review-os,42,"Add auth middleware and update dashboard UI",critical,Security,security,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Sensitive changes detected without test updates."
